item,Agriculture,Food_processing,Transport,Packaging,CO2_per_kg
COD FILLET FROZEN (F),0,0,0,0,3.03
COFFEE DRIP FILTERED (L),0,0,0,0,0.60
COFFEE GREEN*,0,0,0,0,0.49
COFFEE GROUND,0,0,0,0,5.13
COFFEE PARCHMENT,0,0,0,0,8.29
COFFEE SOLUBLE POWDER (L),0,0,0,0,0.33
CORN CANNED,0,0,0,0,1.36
CORNFLAKES*,0,0,0,0,2.64
COW MILK,0,0,0,0,1.31
COWPEA,0,0,0,0,0.49
CRANBERRY,0,0,0,0,0.87
CRANBERRY JUICE (I),0,0,0,0,2.88
CREAM,0,0,0,0,5.45
CRISPBREAD**,0,0,0,0,1.35
CUCUMBER,0,0,0,0,1.05
CURRANT,0,0,0,0,0.64
CUTTLEFISH,0,0,0,0,5.05
DARK CHOCOLATE,0,0,0,0,2.71
DATE DRIED FRUIT,0,0,0,0,0.60
DIAMOND FISH,0,0,0,0,6.02
DUCK MEAT BONE FREE*,0,0,0,0,4.10
DUCK MEAT WITH BONE*,0,0,0,0,2.07
DURUM WHEAT,0,0,0,0,0.47
EEL,0,0,0,0,3.88
EGG PASTA*,0,0,0,0,3.15
EGGPLANT,0,0,0,0,1.55
EGGS*,0,0,0,0,3.20
EMMENTAL,0,0,0,0,8.20
EMU BONE FREE MEAT,0,0,0,0,1.50
ESPRESSO (L),0,0,0,0,0.55
EXOTIC FRUIT (G),0,0,0,0,2.43
FENNEL,0,0,0,0,0.48
FIG,0,0,0,0,0.26
FIG JUICE (I),0,0,0,0,3.20
FISH MIXED,0,0,0,0,4.99
FISH STICK FROZEN (F),0,0,0,0,2.26
FLATFISH,0,0,0,0,6.41
FLATHEAD,0,0,0,0,2.56
FLAVORED CRACKERS**,0,0,0,0,0.93
FORK BEARD,0,0,0,0,8.01
GARLIC,0,0,0,0,0.71
GERKIN,0,0,0,0,1.17
GINGER,0,0,0,0,0.88
GOAT CHEESE,0,0,0,0,8.35
GOAT MILK,0,0,0,0,1.44
GOOSEBERRY,0,0,0,0,0.84
GRAHAM FLOUR,0,0,0,0,0.47
GRANA PADANO,0,0,0,0,15.34
GRAPES,0,0,0,0,0.31
GREEN BEAN (fresh),0,0,0,0,0.52
GREEN BEANS FROZEN (F),0,0,0,0,2.74
GREEN BEANS IN CAN,0,0,0,0,1.45
GUAVA,0,0,0,0,0.28
HADDOCK,0,0,0,0,3.10
HADDOCK FROZEN (F),0,0,0,0,3.72
HAKE,0,0,0,0,10.40
HAKE FISH STICK,0,0,0,0,2.14
HAZELNUT,0,0,0,0,1.11
HAZELNUT COVERED WITH CHOCOLATE,0,0,0,0,3.43
HAZELNUT CREAM,0,0,0,0,2.71
HAZELNUT PASTE,0,0,0,0,1.69
HERRING,0,0,0,0,1.24
HERRING FROZEN (F),0,0,0,0,1.30
HONEY*,0,0,0,0,1.74
ICE CREAM,0,0,0,0,1.02
KANGAROO MEAT*,0,0,0,0,4.10
KETCHUP,0,0,0,0,1.46
KIWI,0,0,0,0,0.49
KIWI JUICE (I),0,0,0,0,2.84
KRILL,0,0,0,0,5.54
LAMB BONE FREE MEAT*,0,0,0,0,25.23
LAMB MEAT WITH BONE*,0,0,0,0,16.70
LEMON,0,0,0,0,0.22
LENTIL,0,0,0,0,1.03
LETTUCE,0,0,0,0,1.54
LIME,0,0,0,0,0.22
LING,0,0,0,0,6.45
LOBSTER,0,0,0,0,20.25
MACKEREL,0,0,0,0,1.80
MACKEREL FROZEN (F),0,0,0,0,0.99
MAIZE FLOUR,0,0,0,0,1.31
MAIZE GRAINS,0,0,0,0,0.48
MAKEREL FISH STICK,0,0,0,0,1.02
MANDARIN,0,0,0,0,0.45
MANGO,0,0,0,0,0.31
MANGO JUICE (I),0,0,0,0,2.96
MARGARINE*,0,0,0,0,1.39
MASCARPONE,0,0,0,0,5.70
MAYONNAISE,0,0,0,0,2.04
MEALWORMS*,0,0,0,0,2.84
MEGRIM,0,0,0,0,14.15
MELON,0,0,0,0,1.02
MILK CHOCOLATE,0,0,0,0,3.60
MILLET FLOUR,0,0,0,0,1.37
MILLET GRAINS,0,0,0,0,0.86
MINERAL WATER*,0,0,0,0,0.49
MIXED FISH FROZEN (F),0,0,0,0,1.04
MIXED NUTS,0,0,0,0,0.47
MOZZARELLA,0,0,0,0,8.20
MUNG BEAN FLOUR,0,0,0,0,1.49
MUSHROOM*,0,0,0,0,2.06
MUSSELS,0,0,0,0,0.46
OAT GRAINS,0,0,0,0,0.67
OAT MEAL,0,0,0,0,0.87
OCTOPUS,0,0,0,0,5.80
OCTOPUS FROZEN (F),0,0,0,0,7.88
OLIVE OIL,0,0,0,0,3.27
OLIVES,0,0,0,0,0.64
ONION,0,0,0,0,0.22
ORANGE,0,0,0,0,0.30
ORANGE JUICE,0,0,0,0,0.46
PALM NUT,0,0,0,0,0.80
PALM OIL,0,0,0,0,2.43
PARMIGIANO REGGIANO,0,0,0,0,12.54
PASTA*,0,0,0,0,1.21
PEA,0,0,0,0,0.45
PEACH,0,0,0,0,0.39
PEANUTS,0,0,0,0,0.83
PEANUT BUTTER,0,0,0,0,1.15
PEANUT OIL,0,0,0,0,2.90
PEANUT PASTE,0,0,0,0,1.84
PEAR,0,0,0,0,0.27
PEAR JUICE,0,0,0,0,0.49
PECORINO,0,0,0,0,17.15
PEPPER,0,0,0,0,1.85
PESTO,0,0,0,0,2.71
PESTO WITHOUT GARLIC,0,0,0,0,2.72
PILCHARD,0,0,0,0,1.10
PINEAPPLE,0,0,0,0,0.41
PINEAPPLE JUICE (I),0,0,0,0,2.78
PISTACHIO,0,0,0,0,1.60
PLAICE,0,0,0,0,6.13
PLAIN CRACKERS**,0,0,0,0,1.35
PLUM,0,0,0,0,0.26
POLLOCK,0,0,0,0,1.40
POLLOCK FROZEN (F),0,0,0,0,0.90
POLLOCK STICK FROZEN (F),0,0,0,0,2.14
POMEGRANATE,0,0,0,0,0.74
POMELO,0,0,0,0,0.51
POMFRET,0,0,0,0,6.63
PORBEAGLE,0,0,0,0,11.44
PORK BONE FREE MEAT*,0,0,0,0,5.72
PORK HAM,0,0,0,0,7.95
PORK MEAT WITH BONE*,0,0,0,0,3.44
PORK NECK,0,0,0,0,4.03
PORK SAUSAGES,0,0,0,0,17.94
POTATO,0,0,0,0,0.24
PRAWNS/SHRIMPS,0,0,0,0,7.04
PRAWNS/SHRIMPS FROZEN (F),0,0,0,0,15.07
PUMPKIN,0,0,0,0,0.24
QUINOA GRAINS,0,0,0,0,0.97
QUORNE,0,0,0,0,2.50
RABBIT MEAT WITH BONE*,0,0,0,0,4.31
RADISH,0,0,0,0,0.15
RAISIN,0,0,0,0,0.81
RAPE SEED,0,0,0,0,0.78
RAPESEED OIL,0,0,0,0,1.79
RASPBERRIES FROZEN (F)*,0,0,0,0,1.18
RASPBERRY,0,0,0,0,3.99
RHOMBUS,0,0,0,0,8.41
RICE MILK,0,0,0,0,0.66
RICE*,0,0,0,0,2.19
RICOTTA,0,0,0,0,3.40
ROCK FISH,0,0,0,0,6.94
ROCKMELON,0,0,0,0,0.39
RYE GRAINS,0,0,0,0,0.38
SALMON,0,0,0,0,3.37
SALMON FILLET FROZEN (F),0,0,0,0,1.61
SARDINE,0,0,0,0,0.90
SEA-BASS,0,0,0,0,3.60
SESAM SEED,0,0,0,0,0.88
SHARK,0,0,0,0,11.44
SIMPLE COOKIES**,0,0,0,0,1.39
SNAILS*,0,0,0,0,0.73
SOLE,0,0,0,0,5.40
SOLE FROZEN (F),0,0,0,0,14.28
SORGHUM FLOUR,0,0,0,0,1.33
SORGHUM GRAINS,0,0,0,0,0.88
SOY BURGER,0,0,0,0,1.48
SOY CREAM*,0,0,0,0,1.62
SOY MEAL,0,0,0,0,0.62
SOY MILK,0,0,0,0,0.78
SOY YOGURT*,0,0,0,0,1.36
SOYBEAN,0,0,0,0,0.56
SOYBEAN OIL,0,0,0,0,1.79
SPINACH,0,0,0,0,0.34
SQUID,0,0,0,0,6.91
STARCHY ROOTS,0,0,0,0,0.29
STRACCHINO,0,0,0,0,4.92
STRAWBERRIES,0,0,0,0,1.44
STRAWBERRY JUICE (I),0,0,0,0,2.68
SUGAR,0,0,0,0,0.78
SUNFLOWER OIL,0,0,0,0,0.98
SUNFLOWER SEED,0,0,0,0,1.16
SWARDFISH,0,0,0,0,12.84
SWEDE,0,0,0,0,0.29
SWEET POTATO,0,0,0,0,0.27
TANGERIN,0,0,0,0,0.38
TEMPEH,0,0,0,0,1.10
TOFU,0,0,0,0,2.27
TOMATO,0,0,0,0,1.26
TOMATO & BASIL,0,0,0,0,1.14
TOMATO ARRABBIATA,0,0,0,0,1.24
TOMATO CHOPPED,0,0,0,0,1.47
TOMATO PEELED,0,0,0,0,1.30
TOMATO PUREE,0,0,0,0,1.03
TOMATO SAUCE,0,0,0,0,1.19
TROUT,0,0,0,0,4.20
TROUT FROZEN (F),0,0,0,0,4.38
TUNA,0,0,0,0,3.68
TUNA FROZEN (F),0,0,0,0,2.64
TUNA CANNED,0,0,0,0,2.10
TURBOT,0,0,0,0,14.51
TURKEY MEAT BONE FREE,0,0,0,0,4.08
TURKEY MEAT WITH BONE,0,0,0,0,2.13
TURNIP,0,0,0,0,0.35
VANILLA ICE CREAM,0,0,0,0,4.30
VEGETABLES,0,0,0,0,0.54
WALNUT,0,0,0,0,2.06
WATERMELON,0,0,0,0,0.52
WHEAT GRAINS,0,0,0,0,0.57
WHEAT PLAIN FLOUR,0,0,0,0,0.52
WHITING,0,0,0,0,2.66
WHOLE WHEAT FLOUR,0,0,0,0,0.36
WHOLEGRAIN CRACKERS**,0,0,0,0,0.97
WINE,0,0,0,0,0.66
RED WINE,0,0,0,0,0.87
WINE WHITE,0,0,0,0,0.44
YEAST COMPRESSED*,0,0,0,0,0.82
YEAST DRIED*,0,0,0,0,3.29
YEAST LIQUID*,0,0,0,0,0.50
YOGURT FLAVOURED**,0,0,0,0,2.85
YOGURT LACTOSE FREE,0,0,0,0,3.47
YOGURT WHITE,0,0,0,0,1.69
ZUCCHINI,0,0,0,0,1.24
ZUCCHINI FROZEN (F),0,0,0,0,1.35
