item,Agriculture,Food_processing,Transport,Packaging,CO2_per_kg
ALFONSINO,0,0,0,0,3.49
ALMONDS,0,0,0,0,1.88
ALMOND COVERED WITH CHOCOLATE,0,0,0,0,4.80
ALMOND MILK,0,0,0,0,0.42
ALMOND PASTE,0,0,0,0,2.98
ANCHOVY,0,0,0,0,0.82
ANGLERFISH,0,0,0,0,12.29
APPLES,0,0,0,0,0.25
APPLE JUICE (I),0,0,0,0,2.84
APRICOT,0,0,0,0,0.30
ARTICHOKE,0,0,0,0,0.33
ASIAGO,0,0,0,0,10.24
ASPARAGUS,0,0,0,0,0.83
AVOCADO,0,0,0,0,0.82
AZUKI BEAN FLOUR,0,0,0,0,1.32
BACON,0,0,0,0,4.03
BANANAS,0,0,0,0,0.58
BARLEY GRAINS,0,0,0,0,0.48
BARNACLE SHELLFISH,0,0,0,0,2.30
BEAN,0,0,0,0,0.43
BEANS FROZEN (F),0,0,0,0,1.77
BEANS IN CAN,0,0,0,0,0.11
BEEF BONE FREE MEAT*,0,0,0,0,25.75
BEEF MEAT WITH BONE*,0,0,0,0,17.96
BEER IN CAN,0,0,0,0,0.69
BEER GLASS BOTTLE,0,0,0,0,0.96
BEER MODULAR CAN,0,0,0,0,0.53
BEET SUGAR,0,0,0,0,0.94
BEETROOT,0,0,0,0,0.25
BLACKBERRY,0,0,0,0,0.42
BLUEBERRY,0,0,0,0,0.78
BLUEBERRY JUICE (I),0,0,0,0,3.00
BREAD FROZEN (F)*,0,0,0,0,1.31
BREAD MULTICEREAL**,0,0,0,0,0.70
BREAD PLAIN**,0,0,0,0,0.89
BREAD WHOLE**,0,0,0,0,0.77
BROCCOLI,0,0,0,0,0.57
BUCKWHEAT FLOUR,0,0,0,0,1.96
BUFFALO BONE FREE MEAT*,0,0,0,0,78.80
BUFFALO MILK,0,0,0,0,3.57
BUTTER*,0,0,0,0,8.48
CABBAGE,0,0,0,0,0.23
CAKES AND CROISSANT**,0,0,0,0,2.14
CAMEMBERT,0,0,0,0,7.55
CANE SUGAR,0,0,0,0,0.62
CARP,0,0,0,0,1.76
CAROB,0,0,0,0,1.10
CARROTS,0,0,0,0,0.24
CARROTS CANNED,0,0,0,0,1.60
CARROTS FROZEN (F),0,0,0,0,0.27
CASHEW NUT,0,0,0,0,1.38
CATFISH,0,0,0,0,8.93
CAULIFLOWER,0,0,0,0,0.31
CEDDAR,0,0,0,0,11.21
CELERY,0,0,0,0,0.32
CHEESE,0,0,0,0,8.93
CHEESE SEMI-HARD,0,0,0,0,8.65
CHERRY,0,0,0,0,0.46
CHESTNUT,0,0,0,0,0.44
CHICKEN BONE FREE MEAT,0,0,0,0,3.68
CHICKEN MEAT WITH BONE,0,0,0,0,2.82
CHICKPEA,0,0,0,0,0.77
CHILLY,0,0,0,0,0.80
CHOCOLATE ICE CREAM,0,0,0,0,6.60
CHOCOLATE OR CREAM FILLED COOKIES**,0,0,0,0,1.53
CLEMENTINE,0,0,0,0,0.41
COCOA CAKES AND CROISSANT**,0,0,0,0,1.94
COCONUT (I),0,0,0,0,1.78
COCONUT MILK,0,0,0,0,0.41
COD,0,0,0,0,3.08
COD FISH STICK,0,0,0,0,2.14
