item,Agriculture,Food_processing,Transport,Packaging,CO2_per_kg,CO2_level
alfonsino,0.0,0.0,0.0,0.0,3.49,MEDIUM
almond covered with chocolate,0.0,0.0,0.0,0.0,4.8,MEDIUM
almond milk,0.0,0.0,0.0,0.0,0.42,LOW
almond paste,0.0,0.0,0.0,0.0,2.98,MEDIUM
almonds,5.2,0.1,0.4,0.4,6.1,MEDIUM
anchovy,0.0,0.0,0.0,0.0,0.82,LOW
anglerfish,0.0,0.0,0.0,0.0,12.29,HIGH
apple juice,0.0,0.0,0.0,0.0,2.84,LOW
apple pie,1.9,0.6,0.1,0.3,2.9,LOW
apples,0.15,0.05,0.15,0.08,0.43,LOW
apricot,0.0,0.0,0.0,0.0,0.3,LOW
apricots dried,1.8,0.1,0.3,0.3,2.4,LOW
artichoke,0.0,0.0,0.0,0.0,0.33,LOW
asiago,0.0,0.0,0.0,0.0,10.24,HIGH
asparagus,0.0,0.0,0.0,0.0,0.83,LOW
avocado,0.7,0.0,0.3,0.1,1.1,LOW
azuki bean flour,0.0,0.0,0.0,0.0,1.32,LOW
bacon,0.0,0.0,0.0,0.0,4.03,MEDIUM
bananas,0.22,0.08,0.3,0.1,0.68,LOW
barley,0.19,0.13,0.04,0.76,1.18,LOW
barley grains,0.0,0.0,0.0,0.0,0.48,LOW
barnacle shellfish,0.0,0.0,0.0,0.0,2.3,LOW
bean,0.0,0.0,0.0,0.0,0.43,LOW
beans frozen,0.0,0.0,0.0,0.0,1.77,LOW
beans in can,0.0,0.0,0.0,0.0,0.11,LOW
beef (beef herd),82.15,1.81,0.49,0.58,165.37,VERY HIGH
beef (dairy herd),26.69,1.55,0.59,0.62,54.59,VERY HIGH
beef bone free meat,0.0,0.0,0.0,0.0,25.75,VERY HIGH
beef fillet steak,64.7,0.1,0.1,0.1,64.8,VERY HIGH
beef meat with bone,0.0,0.0,0.0,0.0,17.96,HIGH
beef mince,20.1,0.1,0.1,0.3,21.0,VERY HIGH
beef ribeye steak,45.4,0.1,0.1,0.1,45.5,VERY HIGH
beef sirloin steak,31.7,0.1,0.1,0.1,31.8,VERY HIGH
beer glass bottle,0.3,0.2,0.1,0.5,1.0,LOW
